tract_fips,location_name,county_name,no_insurance_pct,high_bp_prevalence,heart_disease_prevalence,annual_checkup_pct,smoking_prevalence,diabetes_prevalence,obesity_prevalence,stroke_prevalence,CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,lapophalf,lapop1,lapop10,lalowihalf,lalowi1,lalowi10,health_risk_score,health_risk_category,is_food_desert,combined_risk
06085512034,6085512034,Santa Clara,6.1,24.2,4.3,68.8,8.3,9.6,24.4,2.3,6085512034.0,California,Santa Clara County,1.0,0.0,0.0,0.0,509.145304150879,,,28.3764054905623,,,13.719999999999999,Medium Risk,False,Low Risk
06085512035,6085512035,Santa Clara,7.2,27.4,5.6,69.3,10.4,11.4,25.4,2.9,6085512035.0,California,Santa Clara County,1.0,0.0,0.0,0.0,4027.31709838659,323.237128965557,,254.801347704721,24.6166910225293,,15.4,High Risk,False,High Risk: Disease Only
06085512036,6085512036,Santa Clara,5.5,22.0,3.7,67.0,9.1,8.7,24.1,2.0,6085512036.0,California,Santa Clara County,1.0,0.0,0.0,0.0,2504.92393954098,,,190.416112774052,,,12.8,Medium Risk,False,Low Risk
06085512037,6085512037,Santa Clara,6.8,25.8,5.1,68.9,9.5,10.6,24.9,2.7,6085512037.0,California,Santa Clara County,1.0,0.0,0.0,0.0,1308.96528922766,,,112.423824882135,,,14.639999999999997,Medium Risk,False,Low Risk
06085512038,6085512038,Santa Clara,11.1,26.6,5.2,66.6,15.9,13.1,29.3,3.3,6085512038.0,California,Santa Clara County,1.0,0.0,1.0,0.0,2685.38932308003,87.2161471843719,,757.248477531326,24.5939366221428,,17.06,High Risk,False,High Risk: Disease Only
06085512039,6085512039,Santa Clara,10.4,24.8,4.7,66.9,11.2,12.3,23.0,2.8,6085512039.0,California,Santa Clara County,1.0,0.0,0.0,0.0,3688.06264192238,810.92945432663,,199.854313740972,23.9894033186138,,15.040000000000001,High Risk,False,High Risk: Disease Only
06085512042,6085512042,Santa Clara,11.7,25.4,4.9,67.8,9.7,12.3,24.0,2.7,6085512042.0,California,Santa Clara County,1.0,0.0,1.0,0.0,1466.83048442518,,,270.924518199812,,,15.66,High Risk,False,High Risk: Disease Only
06085512043,6085512043,Santa Clara,18.3,26.7,5.4,64.6,15.4,14.1,31.1,3.3,6085512043.0,California,Santa Clara County,1.0,0.0,1.0,0.0,999.1477766186,,,411.978876080364,,,19.119999999999997,High Risk,False,High Risk: Disease Only
06085512045,6085512045,Santa Clara,6.0,25.4,4.7,69.2,9.0,9.7,23.6,2.4,6085512045.0,California,Santa Clara County,1.0,0.0,0.0,0.0,922.878801289946,,,80.0692075116094,,,13.88,Medium Risk,False,Low Risk
06085512047,6085512047,Santa Clara,7.0,26.4,5.6,68.7,10.1,10.5,25.5,2.9,6085512047.0,California,Santa Clara County,1.0,0.0,0.0,0.0,3880.70114941429,,,493.006089916686,,,15.0,Medium Risk,False,Low Risk
06085512052,6085512052,Santa Clara,6.6,24.8,4.7,68.6,8.7,9.2,25.2,2.5,6085512052.0,California,Santa Clara County,1.0,0.0,0.0,0.0,630.010491490364,,,117.080823153257,,,14.099999999999998,Medium Risk,False,Low Risk
06085512053,6085512053,Santa Clara,8.9,26.0,5.1,68.9,9.4,10.6,26.7,2.7,6085512053.0,California,Santa Clara County,1.0,0.0,0.0,0.0,1697.75981676113,,,148.424876335426,,,15.460000000000003,High Risk,False,High Risk: Disease Only
06085512054,6085512054,Santa Clara,8.7,17.4,2.5,62.7,8.7,6.8,24.9,1.5,,,,1.0,0.0,,,,,,,,,12.059999999999999,Medium Risk,False,Low Risk
06085512055,6085512055,Santa Clara,10.2,24.2,5.0,67.8,10.2,11.4,23.0,2.7,,,,1.0,0.0,,,,,,,,,14.76,Medium Risk,False,Low Risk
06085512056,6085512056,Santa Clara,12.8,24.9,5.0,65.8,12.4,12.7,26.6,2.9,,,,1.0,0.0,,,,,,,,,16.4,High Risk,False,High Risk: Disease Only
06085512057,6085512057,Santa Clara,11.7,26.3,5.3,68.2,9.8,12.7,24.2,2.9,,,,1.0,0.0,,,,,,,,,16.04,High Risk,False,High Risk: Disease Only
06085512058,6085512058,Santa Clara,6.5,17.3,2.5,63.4,8.9,6.6,22.2,1.5,,,,1.0,0.0,,,,,,,,,11.02,Medium Risk,False,Low Risk
06085512059,6085512059,Santa Clara,5.4,23.4,4.3,69.1,7.1,9.1,22.9,2.2,,,,1.0,0.0,,,,,,,,,13.02,Medium Risk,False,Low Risk
06085512100,6085512100,Santa Clara,13.7,30.4,7.0,67.7,15.0,14.6,29.5,3.9,6085512100.0,California,Santa Clara County,1.0,0.0,0.0,0.0,1665.99999412196,1665.99999412196,,316.158816141803,316.158816141803,,19.04,High Risk,False,High Risk: Disease Only
06085512200,6085512200,Santa Clara,5.0,28.8,6.1,71.8,8.8,10.8,25.7,3.0,6085512200.0,California,Santa Clara County,0.0,0.0,0.0,0.0,4014.00002121829,4014.00002121829,,417.172803346412,417.172803346412,,15.279999999999998,High Risk,False,High Risk: Disease Only
06085512305,6085512305,Santa Clara,5.7,27.0,5.3,70.6,8.6,10.3,24.4,2.6,6085512305.0,California,Santa Clara County,1.0,0.0,0.0,0.0,3935.99996114173,2759.05372828641,,365.571762564396,242.145261301463,,14.540000000000001,Medium Risk,False,Low Risk
06085512307,6085512307,Santa Clara,7.0,30.0,6.6,71.2,10.2,11.6,28.0,3.4,6085512307.0,California,Santa Clara County,1.0,0.0,0.0,0.0,4815.38038119907,1962.49639251316,,659.173676825832,268.019732789486,,16.64,High Risk,False,High Risk: Disease Only
06085512308,6085512308,Santa Clara,4.6,25.3,4.7,70.5,7.6,9.4,24.2,2.3,6085512308.0,California,Santa Clara County,1.0,0.0,0.0,0.0,4818.02460874803,2287.51330745686,,747.920794730177,300.717387678858,,13.639999999999997,Medium Risk,False,Low Risk
06085512309,6085512309,Santa Clara,6.3,27.8,5.7,70.6,9.0,10.3,25.5,2.8,6085512309.0,California,Santa Clara County,1.0,0.0,0.0,0.0,4639.37581106136,3413.19452578109,,425.751698478911,289.630160496687,,15.12,High Risk,False,High Risk: Disease Only
06085512310,6085512310,Santa Clara,10.4,27.7,5.4,67.8,11.1,11.7,27.8,3.0,6085512310.0,California,Santa Clara County,1.0,0.0,1.0,0.0,1353.69570540713,184.880874156952,,363.566172466664,50.0557612478733,,16.6,High Risk,False,High Risk: Disease Only
06085512311,6085512311,Santa Clara,7.8,25.7,5.1,68.9,9.7,10.3,26.0,2.7,6085512311.0,California,Santa Clara County,1.0,0.0,0.0,0.0,2852.35695241776,634.484339307994,,409.92811460797,91.185280627571,,14.979999999999999,Medium Risk,False,Low Risk
06085512312,6085512312,Santa Clara,6.3,24.4,4.4,68.0,9.4,9.2,27.2,2.3,6085512312.0,California,Santa Clara County,1.0,0.0,0.0,0.0,502.434114217758,,,83.0147626847029,,,14.299999999999997,Medium Risk,False,Low Risk
06085512313,6085512313,Santa Clara,10.6,22.9,4.5,65.8,9.9,9.5,27.6,2.4,6085512313.0,California,Santa Clara County,1.0,0.0,1.0,0.0,1631.64308771491,22.2172430157661,,521.591863014735,7.51256118714809,,15.02,High Risk,False,High Risk: Disease Only
06085512314,6085512314,Santa Clara,9.4,24.9,5.0,66.9,10.6,10.2,28.1,2.7,6085512314.0,California,Santa Clara County,1.0,0.0,1.0,0.0,3014.40655337367,45.2642725035548,,612.211041559465,5.17055574245751,,15.52,High Risk,False,High Risk: Disease Only
06085512401,6085512401,Santa Clara,9.6,30.4,6.6,69.6,10.7,12.3,29.2,3.4,6085512401.0,California,Santa Clara County,1.0,0.0,0.0,0.0,4781.99996973597,4781.99996973597,,1274.75528834944,1274.75528834944,,17.619999999999997,High Risk,False,High Risk: Disease Only
06085512402,6085512402,Santa Clara,10.2,28.7,6.8,69.5,11.2,12.4,28.6,3.4,6085512402.0,California,Santa Clara County,1.0,0.0,0.0,0.0,5167.00003234262,5123.49951862509,,855.463502992285,848.031912472439,,17.34,High Risk,False,High Risk: Disease Only
06085512505,6085512505,Santa Clara,12.5,25.1,4.6,65.3,12.0,11.3,29.9,2.6,6085512505.0,California,Santa Clara County,1.0,0.0,0.0,0.0,5365.38074540347,1000.86084103957,,1307.3322614783,202.802500686375,,16.68,High Risk,False,High Risk: Disease Only
06085512509,6085512509,Santa Clara,8.9,22.9,4.1,67.3,8.2,9.6,26.6,2.2,6085512509.0,California,Santa Clara County,1.0,0.0,0.0,0.0,3213.58341328055,1088.65631788969,,557.858391907415,24.4428266212344,,14.419999999999998,Medium Risk,False,Low Risk
06085512510,6085512510,Santa Clara,10.0,27.5,6.1,69.9,9.4,11.4,27.1,3.1,6085512510.0,California,Santa Clara County,1.0,0.0,0.0,0.0,3291.80133440083,1459.66956997022,,545.477859292719,132.035291855525,,16.419999999999998,High Risk,False,High Risk: Disease Only
06085512511,6085512511,Santa Clara,10.7,29.5,6.6,70.3,9.9,12.7,29.4,3.4,,,,1.0,0.0,,,,,,,,,17.779999999999998,High Risk,False,High Risk: Disease Only
06085512512,6085512512,Santa Clara,17.6,24.5,5.2,64.7,12.2,11.5,31.0,2.8,,,,1.0,0.0,,,,,,,,,17.96,High Risk,False,High Risk: Disease Only
06085512513,6085512513,Santa Clara,13.3,21.5,4.0,64.7,9.3,9.8,29.3,2.2,,,,1.0,0.0,,,,,,,,,15.579999999999998,High Risk,False,High Risk: Disease Only
06085512514,6085512514,Santa Clara,13.0,23.5,4.4,65.2,11.8,11.2,29.9,2.5,,,,1.0,0.0,,,,,,,,,16.4,High Risk,False,High Risk: Disease Only
06085512515,6085512515,Santa Clara,7.1,25.4,4.9,68.8,9.7,10.1,25.8,2.6,,,,1.0,0.0,,,,,,,,,14.659999999999997,Medium Risk,False,Low Risk
06085512516,6085512516,Santa Clara,7.4,25.5,5.4,68.9,10.1,10.8,28.2,2.8,,,,1.0,0.0,,,,,,,,,15.460000000000003,High Risk,False,High Risk: Disease Only
06085512602,6085512602,Santa Clara,12.9,27.9,6.2,67.7,11.5,12.2,30.7,3.3,6085512602.0,California,Santa Clara County,0.0,0.0,0.0,0.0,2874.58648286844,2513.6858139721,,792.028949887179,663.033759996506,,17.98,High Risk,False,High Risk: Disease Only
06085512603,6085512603,Santa Clara,22.7,23.6,4.5,63.2,12.7,11.5,35.0,2.6,6085512603.0,California,Santa Clara County,1.0,0.0,1.0,0.0,625.548575938214,,,290.026657007518,,,19.46,High Risk,False,High Risk: Disease Only
06085512604,6085512604,Santa Clara,18.7,24.9,5.2,64.5,11.6,12.2,31.5,2.9,6085512604.0,California,Santa Clara County,1.0,0.0,1.0,0.0,2617.61419185251,144.793536148965,,1043.35780482832,45.2826532209292,,18.5,High Risk,False,High Risk: Disease Only
06085513000,6085513000,Santa Clara,6.8,9.9,1.2,58.1,8.8,2.6,22.5,0.8,6085513000.0,California,Santa Clara County,1.0,0.0,1.0,0.0,5941.20770290494,131.948867350817,,2769.38588897511,62.6895654797554,,8.6,Low Risk,False,Low Risk
06085513500,6085513500,Santa Clara,8.2,30.0,7.0,70.7,11.1,11.8,29.3,3.5,6085513500.0,California,Santa Clara County,0.0,0.0,0.0,0.0,1143.99999077824,1073.99999363927,246.393727765659,117.598683541135,110.402960007505,25.3283027014248,17.259999999999998,High Risk,False,High Risk: Disease Only
