tract_fips,location_name,county_name,no_insurance_pct,high_bp_prevalence,heart_disease_prevalence,annual_checkup_pct,smoking_prevalence,diabetes_prevalence,obesity_prevalence,stroke_prevalence,CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,lapophalf,lapop1,lapop10,lalowihalf,lalowi1,lalowi10,health_risk_score,health_risk_category,is_food_desert,combined_risk
06097150612,6097150612,Sonoma,5.4,28.5,5.6,72.1,9.9,9.3,27.0,2.7,6097150612.0,California,Sonoma County,1.0,0.0,0.0,0.0,4276.13275330821,2843.82973131146,,611.128196672977,426.542810022573,,15.160000000000002,High Risk,False,High Risk: Disease Only
06097150701,6097150701,Sonoma,6.9,30.1,6.4,71.6,11.3,10.3,28.0,3.3,6097150701.0,California,Sonoma County,1.0,0.0,0.0,0.0,1878.38529688097,,,403.902642261863,,,16.340000000000003,High Risk,False,High Risk: Disease Only
06097150702,6097150702,Sonoma,3.7,30.4,6.4,74.8,8.2,9.6,26.1,3.0,6097150702.0,California,Sonoma County,1.0,0.0,0.0,0.0,4552.00000103142,2570.67509858654,,628.757062030436,251.164381510682,,15.24,High Risk,False,High Risk: Disease Only
06097150800,6097150800,Sonoma,5.5,30.4,6.6,73.3,10.4,9.9,27.0,3.3,6097150800.0,California,Sonoma County,1.0,0.0,0.0,0.0,3457.41417681484,1118.38549321075,,583.406646126668,166.606478736887,,15.88,High Risk,False,High Risk: Disease Only
06097150901,6097150901,Sonoma,8.4,27.3,5.6,69.8,12.9,9.7,29.6,3.1,6097150901.0,California,Sonoma County,1.0,0.0,0.0,0.0,48.4110261946917,2.10236191749573,,25.4729266911745,1.10622131824493,,16.12,High Risk,False,High Risk: Disease Only
06097150902,6097150902,Sonoma,4.4,30.8,6.4,73.7,10.3,9.9,27.5,3.1,6097150902.0,California,Sonoma County,1.0,0.0,0.0,0.0,1766.05549527705,4.63945150375366,,339.1139862407,0.88030618429184,,15.8,High Risk,False,High Risk: Disease Only
06097151000,6097151000,Sonoma,5.6,32.9,7.2,74.2,11.2,11.0,28.5,3.5,6097151000.0,California,Sonoma County,1.0,0.0,0.0,0.0,3482.99997503173,2948.6341705383,,902.929646717709,751.715343194407,,17.04,High Risk,False,High Risk: Disease Only
06097151100,6097151100,Sonoma,6.4,29.7,6.6,72.2,10.3,9.7,28.0,3.2,6097151100.0,California,Sonoma County,0.0,0.0,0.0,0.0,5151.0000132787,5151.0000132787,,947.666154237295,947.666154237295,,16.080000000000002,High Risk,False,High Risk: Disease Only
06097151203,6097151203,Sonoma,6.1,27.0,5.1,70.0,10.9,8.7,28.0,2.7,6097151203.0,California,Sonoma County,1.0,0.0,0.0,0.0,2406.80550795794,240.074504360557,,487.47286774125,33.9573067845777,,14.979999999999999,Medium Risk,False,Low Risk
06097151204,6097151204,Sonoma,7.0,27.2,5.5,70.2,11.4,9.4,28.5,2.9,6097151204.0,California,Sonoma County,1.0,0.0,0.0,0.0,1698.72810892761,364.762833595276,,540.5655963514,97.2065554261208,,15.52,High Risk,False,High Risk: Disease Only
06097151205,6097151205,Sonoma,5.7,33.0,8.0,74.1,11.7,11.6,28.9,4.0,,,,1.0,0.0,,,,,,,,,17.44,High Risk,False,High Risk: Disease Only
06097151206,6097151206,Sonoma,10.4,27.0,5.5,68.8,13.8,10.3,31.3,3.1,,,,1.0,0.0,,,,,,,,,16.9,High Risk,False,High Risk: Disease Only
06097151301,6097151301,Sonoma,10.9,25.6,5.0,68.6,11.6,9.3,30.0,2.7,6097151301.0,California,Sonoma County,1.0,0.0,1.0,0.0,645.633125633001,,,156.734027788043,,,16.160000000000004,High Risk,False,High Risk: Disease Only
06097151305,6097151305,Sonoma,11.6,26.5,5.6,68.2,13.6,10.2,30.9,3.1,6097151305.0,California,Sonoma County,1.0,0.0,0.0,0.0,85.1726455846801,,,20.0150278306101,,,16.959999999999997,High Risk,False,High Risk: Disease Only
06097151306,6097151306,Sonoma,8.0,28.9,5.8,69.5,12.7,9.6,28.4,3.0,6097151306.0,California,Sonoma County,1.0,0.0,0.0,0.0,3047.59853199124,29.6630170345306,,687.620367240161,3.24328735470772,,16.139999999999997,High Risk,False,High Risk: Disease Only
06097151307,6097151307,Sonoma,6.1,27.4,5.6,70.5,10.8,9.5,27.3,2.9,6097151307.0,California,Sonoma County,1.0,0.0,0.0,0.0,1451.2618186709,59.999479919672,,262.375202272175,8.25068664178252,,15.179999999999998,High Risk,False,High Risk: Disease Only
06097151308,6097151308,Sonoma,6.2,31.3,7.0,72.8,10.6,10.4,26.9,3.5,6097151308.0,California,Sonoma County,1.0,0.0,0.0,0.0,2846.68921687081,,,883.11411563633,,,16.36,High Risk,False,High Risk: Disease Only
06097151309,6097151309,Sonoma,5.8,27.9,5.8,71.3,11.0,9.7,27.1,3.0,6097151309.0,California,Sonoma County,0.0,0.0,0.0,0.0,4864.06632478066,2166.04564670508,,783.441704899242,327.436840996839,,15.26,High Risk,False,High Risk: Disease Only
06097151310,6097151310,Sonoma,7.9,18.3,3.0,65.2,10.0,6.1,24.5,1.7,6097151310.0,California,Sonoma County,1.0,0.0,0.0,0.0,6045.70897237957,3531.91987077892,,1266.39001448266,601.788565857336,,11.96,Medium Risk,False,Low Risk
06097151311,6097151311,Sonoma,6.2,23.0,4.3,68.3,10.3,7.8,26.9,2.3,6097151311.0,California,Sonoma County,1.0,0.0,0.0,0.0,6381.99996944517,2545.50426477939,,1473.12836515438,521.312752377242,,13.64,Medium Risk,False,Low Risk
06097151403,6097151403,Sonoma,7.5,23.6,4.2,68.5,9.9,8.6,26.4,2.2,,,,1.0,0.0,,,,,,,,,14.060000000000002,Medium Risk,False,Low Risk
06097151404,6097151404,Sonoma,20.0,26.7,5.6,65.1,16.7,12.1,33.7,3.3,,,,1.0,0.0,,,,,,,,,19.62,High Risk,False,High Risk: Disease Only
06097151405,6097151405,Sonoma,17.7,27.4,5.8,66.9,16.0,12.2,34.5,3.4,,,,1.0,0.0,,,,,,,,,19.520000000000003,High Risk,False,High Risk: Disease Only
06097151406,6097151406,Sonoma,14.5,29.1,6.1,68.6,15.1,11.8,33.2,3.6,,,,1.0,0.0,,,,,,,,,18.94,High Risk,False,High Risk: Disease Only
06097151503,6097151503,Sonoma,3.6,36.1,8.8,77.4,10.6,12.3,26.8,4.1,6097151503.0,California,Sonoma County,1.0,0.0,0.0,0.0,3103.83473316859,899.984855358489,,154.793210497282,33.7074607004579,,17.52,High Risk,False,High Risk: Disease Only
06097151504,6097151504,Sonoma,4.7,30.3,6.6,74.3,8.5,9.7,26.1,3.2,6097151504.0,California,Sonoma County,1.0,0.0,0.0,0.0,69.968369603157,,,10.3992640264332,,,15.48,High Risk,False,High Risk: Disease Only
06097151505,6097151505,Sonoma,3.7,32.7,7.9,76.9,8.8,11.3,27.1,3.7,,,,1.0,0.0,,,,,,,,,16.54,High Risk,False,High Risk: Disease Only
06097151506,6097151506,Sonoma,7.6,31.1,6.8,71.9,13.4,10.8,28.8,3.5,,,,1.0,0.0,,,,,,,,,17.02,High Risk,False,High Risk: Disease Only
06097151601,6097151601,Sonoma,3.4,47.5,13.1,86.2,6.9,15.3,23.9,6.0,6097151601.0,California,Sonoma County,0.0,0.0,0.0,0.0,2901.00002020503,2901.00002020503,,274.021339461342,274.021339461342,,20.64,Critical Risk,False,High Risk: Disease Only
06097151602,6097151602,Sonoma,2.9,42.0,10.4,85.2,4.6,12.2,21.6,4.3,6097151602.0,California,Sonoma County,1.0,0.0,0.0,0.0,3324.0000256014,3218.5168427241,,469.669114131132,456.78940548061,,17.82,High Risk,False,High Risk: Disease Only
06097151701,6097151701,Sonoma,6.8,26.6,5.3,71.1,10.0,9.2,28.6,2.8,,,,1.0,0.0,,,,,,,,,15.3,High Risk,False,High Risk: Disease Only
06097151702,6097151702,Sonoma,6.7,34.5,8.5,75.5,10.4,11.4,27.5,4.3,,,,1.0,0.0,,,,,,,,,17.720000000000002,High Risk,False,High Risk: Disease Only
06097151800,6097151800,Sonoma,4.6,28.2,5.3,72.7,9.0,8.6,26.8,2.6,6097151800.0,California,Sonoma County,1.0,0.0,0.0,0.0,1426.15855260193,,,406.66029016301,,,14.7,Medium Risk,False,Low Risk
06097151900,6097151900,Sonoma,7.6,29.2,5.7,70.8,10.7,9.6,29.0,3.0,6097151900.0,California,Sonoma County,1.0,0.0,1.0,0.0,963.421445142072,,,446.57463733808,,,16.22,High Risk,False,High Risk: Disease Only
06097152000,6097152000,Sonoma,10.6,25.6,5.1,67.2,14.8,9.3,31.2,2.9,6097152000.0,California,Sonoma County,1.0,0.0,1.0,0.0,957.202673077583,,,554.190570368432,,,16.36,High Risk,False,High Risk: Disease Only
06097152100,6097152100,Sonoma,10.2,28.1,5.8,67.7,15.8,10.7,32.1,3.2,6097152100.0,California,Sonoma County,1.0,0.0,0.0,0.0,891.695630550385,,,224.302067995071,,,17.380000000000003,High Risk,False,High Risk: Disease Only
06097152201,6097152201,Sonoma,7.8,27.9,5.5,69.7,13.0,9.7,30.7,3.0,6097152201.0,California,Sonoma County,1.0,0.0,0.0,0.0,490.849828451872,,,192.504425045103,,,16.32,High Risk,False,High Risk: Disease Only
06097152203,6097152203,Sonoma,6.6,31.3,7.1,73.6,10.7,10.8,28.5,3.6,6097152203.0,California,Sonoma County,1.0,0.0,0.0,0.0,292.421256065369,,,66.4660981446505,,,16.86,High Risk,False,High Risk: Disease Only
06097152204,6097152204,Sonoma,7.3,31.5,7.0,73.8,10.5,10.9,27.3,3.6,,,,1.0,0.0,,,,,,,,,16.8,High Risk,False,High Risk: Disease Only
06097152205,6097152205,Sonoma,5.7,28.9,5.8,72.4,9.2,9.0,26.5,2.8,,,,1.0,0.0,,,,,,,,,15.179999999999998,High Risk,False,High Risk: Disease Only
06097152300,6097152300,Sonoma,4.2,34.5,7.9,75.9,10.6,11.2,26.8,3.9,6097152300.0,California,Sonoma County,1.0,0.0,0.0,0.0,2500.44560011895,146.175012886524,,352.32514087169,23.8631998822093,,16.92,High Risk,False,High Risk: Disease Only
06097152401,6097152401,Sonoma,3.2,32.8,7.0,77.3,7.6,10.3,25.0,3.2,,,,1.0,0.0,,,,,,,,,15.66,High Risk,False,High Risk: Disease Only
06097152402,6097152402,Sonoma,4.8,34.9,8.2,77.9,7.0,10.4,23.1,3.7,,,,1.0,0.0,,,,,,,,,16.279999999999998,High Risk,False,High Risk: Disease Only
06097152501,6097152501,Sonoma,6.9,27.0,5.6,70.0,12.9,9.6,29.0,3.0,6097152501.0,California,Sonoma County,1.0,0.0,0.0,0.0,1545.8937796019,13.3491942547262,,303.740813225508,2.89976073056459,,15.620000000000001,High Risk,False,High Risk: Disease Only
